怪物名稱,等級 ,生命值,基礎經驗,掉落物品
Snail (嫩寶),1,8,3,Green Headband (綠髮帶)
Snail (嫩寶),1,8,3,White Undershirt (白色內衣)
Snail (嫩寶),1,8,3,Brown Rocky Suit (褐色洛基外衣)
Snail (嫩寶),1,8,3,Sword (劍)
Snail (嫩寶),1,8,3,Red Potion (紅色藥水)
Snail (嫩寶),1,8,3,Green Apple (青蘋果)
Snail (嫩寶),1,8,3,Scroll for Helmet for Defense 10% (頭盔防禦力 10% 捲軸)
Snail (嫩寶),1,8,3,Scroll for Cape for Defense 60% (披風防禦力 60% 捲軸)
Snail (嫩寶),1,8,3,Snail Shell (綠寶殼)
Snail (嫩寶),1,8,3,Bronze Ore (青銅母礦)
Snail (嫩寶),1,8,3,Garnet Ore (石榴石母礦)
Blue Snail (藍寶),2,15,4,Undershirt (內衣/汗衫)
Blue Snail (藍寶),2,15,4,Blue One-lined T-Shirt (青色運動T恤)
Blue Snail (藍寶),2,15,4,Grey / Brown Training Shirt (灰修煉服)
Blue Snail (藍寶),2,15,4,Red-Striped T-Shirt (黃紅短T)
Blue Snail (藍寶),2,15,4,Grey Thick Sweat Pants (灰色橡膠褲)
Blue Snail (藍寶),2,15,4,Grey / Brown Training Pants (灰修煉褲)
Blue Snail (藍寶),2,15,4,Red Potion (紅色藥水)
Blue Snail (藍寶),2,15,4,Green Apple (青蘋果)
Blue Snail (藍寶),2,15,4,Scroll for Cape for Defense 100% (披風防禦力 100% 捲軸)
Blue Snail (藍寶),2,15,4,Blue Snail Shell (藍寶殼)
Blue Snail (藍寶),2,15,4,Steel Ore (鋼鐵母礦)
Blue Snail (藍寶),2,15,4,Silver Ore (銀的母礦)
Blue Snail (藍寶),2,15,4,Amethyst Ore (紫水晶母礦)
Blue Snail (藍寶),2,15,4,Opal Ore (蛋白石母礦)
Shroom (菇菇仔),2,20,5,Brown Rocky Bandana (褐色洛基頭巾)
Shroom (菇菇仔),2,20,5,Jean Capris (藍馬褲)
Shroom (菇菇仔),2,20,5,Green Avelin Skirt (綠色旅行裙)
Shroom (菇菇仔),2,20,5,Ice Jeans (破爛牛仔褲)
Shroom (菇菇仔),2,20,5,Hand Axe (手斧)
Shroom (菇菇仔),2,20,5,Field Dagger (戰鬥短刀)
Shroom (菇菇仔),2,20,5,Red Potion (紅色藥水)
Shroom (菇菇仔),2,20,5,Green Apple (青蘋果)
Shroom (菇菇仔),2,20,5,Scroll for Cape for Defense 60% (披風防禦力 60% 捲軸)
Shroom (菇菇仔),2,20,5,Mushroom Spore (蘑菇芽孢)
Shroom (菇菇仔),2,20,5,Mithril Ore (鋰礦石母礦)
Shroom (菇菇仔),2,20,5,AquaMarine Ore (海藍石母礦)
Red Snail (紅寶),4,40,8,Amethyst Earrings (紫水晶耳環)
Red Snail (紅寶),4,40,8,Yellow T-Shirt (黃色 T 恤)
Red Snail (紅寶),4,40,8,Brown Rocky Suit (褐色洛基外衣)
Red Snail (紅寶),4,40,8,Red Cloth Pants (紅夢褲)
Red Snail (紅寶),4,40,8,Red Cloth Pants (紅夢褲)
Red Snail (紅寶),4,40,8,Leather Sandals (動物皮涼鞋)
Red Snail (紅寶),4,40,8,Brown Woodsman Boots (褐軟布鞋)
Red Snail (紅寶),4,40,8,Brown Duo (褐短指手套)
Red Snail (紅寶),4,40,8,Sword (劍)
Red Snail (紅寶),4,40,8,Leather Purse (皮製手提包)
Red Snail (紅寶),4,40,8,Metal Wand (金屬短杖)
